exam_type,year,college_code,college_name,course_code,course_name,category,total_seats,category_seats,tuition_fee,other_fee,total_fee,closing_rank_mock,closing_rank_r1,closing_rank_r2,closing_rank_r3,closing_rank_r4
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",EC,Electronics & Communication Engineering,KKR,36,3,200000,20000,220000,,,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",EE,Electrical & Electronics Engineering,GM,18,16,200000,20000,220000,,108350,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",EE,Electrical & Electronics Engineering,KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",IS,Information Science & Engineering,GM,18,16,200000,20000,220000,106976,104380,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",IS,Information Science & Engineering,KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",ME,Mechanical Engineering,GM,18,16,200000,20000,220000,105957,106615,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",ME,Mechanical Engineering,KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",RI,Robotics & Artificial Intelligence,GM,9,8,200000,20000,220000,106625,106484,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",RI,Robotics & Artificial Intelligence,KKR,9,1,200000,20000,220000,,,,,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",AD,Artificial Intelligence & Data Science,GM,54,45,130000,20000,150000,,108689,,71024,84613
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",AD,Artificial Intelligence & Data Science,KKR,54,9,130000,20000,150000,,,,,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",CD,Computer Science & Engineering (Data Science),GM,9,8,105000,20000,125000,,95521,,,
COMEDK,2025,E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",CD,Computer Science & Engineering (Data Science),KKR,9,1,105000,20000,125000,,,,,
